Points: 33
Width: 0.0442424
Duration: 6.93351e+11
0.0650876 0.34023 0.531034
0.091806 0.34023 0.531034
0.131196 0.364368 0.531034
0.171089 0.436782 0.555171
0.226743 0.485057 0.579309
0.282275 0.605747 0.699998
0.338371 0.67816 0.844826
0.392538 0.702298 0.965515
0.449904 0.605747 0.989653
0.502382 0.533333 0.965515
0.557114 0.364368 0.79655
0.612673 0.21954 0.555171
0.66599 0.195403 0.289654
0.722596 0.195403 0.168964
0.777986 0.34023 0.0241384
0.832648 0.581609 0
0.889991 0.847126 0.072413
0.943348 0.967815 0.12069
1 0.967815 0.12069

Points: 21
Width: 0.0372024
Duration: 154.169
Centroid: 0.554643 0.735952
0 0.605598 0.806401
0.0384417 0.605598 0.8568
0.0644422 0.571998 0.8736
0.0904818 0.521598 0.8736
0.130668 0.487998 0.8904
0.185627 0.437599 0.8904
0.243285 0.353598 0.840001
0.294975 0.286398 0.7392
0.351218 0.286398 0.638401
0.402759 0.286398 0.6048
0.457329 0.403999 0.5544
0.510051 0.538399 0.504001
0.563155 0.672798 0.4368
0.618912 0.756799 0.3528
0.67307 0.756799 0.3024
0.72667 0.739998 0.2016
0.782661 0.622399 0.0840004
0.835778 0.504799 0.0167996
0.891817 0.420798 0
0.942693 0.319998 0.0167996
1 0.319998 0.0167996

Points: 26
Width: 0.0458652
Duration: 231.632
Centroid: 0.675865 0.750385
0 0.504192 1
0.0598364 0.490566 0.972746
0.0768719 0.490566 0.918239
0.102687 0.490566 0.836478
0.119552 0.476939 0.727463
0.136976 0.463312 0.618448
0.172591 0.463312 0.509433
0.207191 0.463312 0.400418
0.241862 0.463312 0.141507
0.278802 0.490566 0.0869991
0.315846 0.5587 0.0461188
0.351262 0.654088 0.0461188
0.387611 0.694969 0.0869991
0.423098 0.735849 0.12788
0.459734 0.735849 0.12788
0.690367 0.29979 0.591194
0.707376 0.218028 0.536686
0.733282 0.204401 0.509433
0.750115 0.204401 0.509433
0.784244 0.204401 0.495806
0.82023 0.245282 0.495806
0.85478 0.381551 0.509433
0.892774 0.572327 0.591194
0.928995 0.77673 0.686582
0.964299 0.858492 0.713836
1 0.858492 0.713836

Points: 0
