Points: 26
Width: 0.133269
Duration: 308.034
0.288843 0.274194 0.125503
0.334684 0.298387 0.0771161
0.383372 0.310484 0.0892128
0.429089 0.310484 0.1376
0.476588 0.322581 0.331148
0.526469 0.370968 0.585181
0.573052 0.479839 0.778729
0.618427 0.612903 0.911793
0.666271 0.66129 0.935987
0.712709 0.758064 0.935987
0.761763 0.842742 0.815019
0.807416 0.903225 0.585181
0.85775 0.915322 0.464213
0.904108 0.963709 0.258567
0.951654 0.987903 0.149697
1 1 0.125503

Points: 0
Width: 2.76621e+19
Duration: 4.59163e-41
Centroid: 0 0

Points: 29
Width: 0.133218
Duration: 259.387
Centroid: 0.476379 0.649885
0 0.701251 0.781924
0.0192047 0.701251 0.831968
0.0305841 0.694996 0.856989
0.0536647 0.67623 0.888266
0.06873 0.663719 0.913288
0.100491 0.644953 0.938309
0.131349 0.60742 0.969586
0.162276 0.557377 0.969586
0.196932 0.532356 0.95082
0.228105 0.476057 0.863245
0.260071 0.438525 0.725626
0.293036 0.432269 0.544219
0.324443 0.451035 0.350302
0.355891 0.469802 0.262727
0.387481 0.501079 0.131363
0.419379 0.519845 0.0500431
0.452385 0.5261 0.0187662
0.485665 0.5261 0
0.740305 0.325928 0.287748
0.762972 0.313417 0.294004
0.778257 0.313417 0.300259
0.793876 0.300906 0.300259
0.816863 0.300906 0.300259
0.838208 0.307161 0.300259
0.871307 0.36346 0.300259
0.903395 0.400992 0.306515
0.935705 0.507334 0.331536
0.966805 0.60742 0.362813
1 0.638697 0.369068

Points: 17
Width: 0.0630392
Duration: 120.086
Centroid: 0.450294 0.563333
0 0.352255 0.698289
0.0500008 0.365474 0.552877
0.0832534 0.365474 0.460342
0.116136 0.365474 0.367807
0.16843 0.378694 0.262053
0.236358 0.418352 0.116641
0.305327 0.431571 0.076983
0.376106 0.44479 0.0505445
0.446079 0.44479 0.0902023
0.516622 0.405132 0.275272
0.58684 0.391913 0.394246
0.655118 0.391913 0.632193
0.723944 0.471229 0.777605
0.79045 0.616641 0.87014
0.8654 0.788492 0.936236
0.934133 0.867807 0.962675
1 1 0.975894

Points: 18
Width: 0.0674074
Duration: 129.429
Centroid: 0.458426 0.545741
0 0.4375 0.815935
0.0304107 0.388049 0.815935
0.076455 0.338599 0.815935
0.107024 0.289148 0.791209
0.16362 0.25206 0.729396
0.227456 0.190247 0.543956
0.292982 0.165522 0.309066
0.357746 0.190247 0.197802
0.421834 0.313873 0.0370879
0.484764 0.499313 0
0.549966 0.697115 0.0494505
0.616175 0.783654 0.123626
0.680784 0.894918 0.321428
0.741786 0.90728 0.531594
0.809681 0.796017 0.692308
0.871665 0.721841 0.741759
0.935912 0.585852 0.754121
1 0.548764 0.729396

Points: 30
Width: 0.0764999
Duration: 233.429
Centroid: 0.4785 0.568333
0 0.183006 0.619826
0.0423354 0.183006 0.59804
0.0681479 0.172113 0.554466
0.085152 0.161219 0.478214
0.108624 0.161219 0.380174
0.144389 0.172113 0.293028
0.180148 0.204792 0.129629
0.216854 0.226579 0.0424833
0.251764 0.237472 0.0206969
0.285971 0.237472 0.107843
0.322001 0.237472 0.194989
0.357405 0.259259 0.434641
0.394237 0.302832 0.663399
0.428498 0.357298 0.783225
0.466748 0.379084 0.805011
0.501327 0.411764 0.783225
