Points: 24
Width: 0.150972
Duration: 178.714
0.346829 0.39313 0.272901
0.392195 0.39313 0.181298
0.441169 0.39313 0.158397
0.487745 0.398855 0.158397
0.533712 0.427481 0.227099
0.581999 0.484733 0.341603
0.626468 0.553435 0.438931
0.674812 0.587786 0.461832
0.72006 0.633588 0.473282
0.766524 0.667939 0.433206
0.813062 0.685114 0.39313
0.859974 0.70229 0.307252
0.906613 0.71374 0.221374
0.954607 0.725191 0.164122
1 0.725191 0.141221

Points: 21
Width: 0.103492
Duration: 182.547
Centroid: 0.48746 0.663492
0 0.439801 0.499233
0.0322317 0.447853 0.523389
0.0538255 0.447853 0.531441
0.0758955 0.447853 0.531441
0.108766 0.447853 0.515337
0.131449 0.447853 0.475076
0.180152 0.447853 0.418711
0.225822 0.447853 0.281825
0.270307 0.463957 0.136887
0.31656 0.488114 0.0402607
0.359834 0.51227 0.0161043
0.405164 0.560583 0
0.452305 0.625 0.0241564
0.497114 0.649156 0.0644171
0.799492 0.528374 0.86158
0.831965 0.528374 0.909892
0.853834 0.520322 0.925997
0.875567 0.51227 0.942101
0.908042 0.51227 0.942101
0.954587 0.51227 0.942101
1 0.51227 0.917945

Points: 31
Width: 0.0712903
Duration: 235.746
Centroid: 0.492043 0.596398
0 0.251886 0.688914
0.0251218 0.251886 0.735671
0.0420189 0.251886 0.735671
0.0589967 0.240196 0.700604
0.0841144 0.228507 0.642157
0.117676 0.228507 0.548643
0.152966 0.228507 0.338235
0.187027 0.228507 0.151207
0.22393 0.228507 0.046003
0.259727 0.228507 0.0343137
0.293558 0.228507 0.0693815
0.328566 0.251886 0.244721
0.364075 0.263575 0.373304
0.39963 0.368778 0.747361
0.435329 0.392157 0.817496
0.47002 0.427225 0.840875
0.506482 0.450604 0.770739
0.541804 0.462293 0.700604
0.575886 0.485671 0.548643
0.61089 0.50905 0.443439
0.645697 0.555807 0.420061
0.68244 0.590875 0.455129
0.717713 0.684389 0.5954
0.752305 0.801282 0.75905
0.788953 0.883107 0.829186
0.823134 0.929864 0.75905
0.860309 0.941554 0.677225
0.895896 0.953243 0.443439
0.930747 0.964932 0.233032
0.966444 0.988311 0.0927601
1 1 0.0576923

Points: 24
Width: 0.09
Duration: 175.562
Centroid: 0.51625 0.611667
0 0.706018 0.787037
0.0222193 0.696759 0.824074
0.0455845 0.6875 0.842592
0.0802999 0.668981 0.861111
0.102469 0.641203 0.879629
0.1454 0.613426 0.888889
0.193955 0.539351 0.879629
0.239684 0.4375 0.824074
0.289291 0.391203 0.777777
