Points: 32
Width: 0.299635
Duration: 517.669
0.154924 0.535246 0.92459
0.187269 0.461475 0.92459
0.219873 0.377869 0.919672
0.252992 0.29918 0.87541
0.285281 0.25 0.816393
0.317449 0.215574 0.752459
0.349602 0.205738 0.708197
0.381843 0.205738 0.668852
0.415527 0.205738 0.64918
0.447834 0.245082 0.629508
0.479958 0.313935 0.614754
0.513337 0.417213 0.585246
0.544401 0.510656 0.545901
0.57669 0.584426 0.511475
0.609133 0.658197 0.472131
0.64184 0.722131 0.422951
0.67483 0.781147 0.34918
0.708202 0.790983 0.280328
0.739456 0.790983 0.211475
0.771826 0.790983 0.127869
0.804728 0.751639 0.0737706
0.836922 0.692623 0.0295082
0.870231 0.604098 0.00491803
0.903217 0.530328 0
0.934996 0.451639 0.00491803
0.967417 0.387705 0.0393442
1 0.343443 0.0836066

Points: 39
Width: 0.130342
Duration: 347.718
Centroid: 0.543675 0.539914
0 0.55623 0.794426
0.080042 0.549836 0.794426
0.105515 0.511476 0.80082
0.129775 0.453935 0.80082
0.154287 0.358033 0.80082
0.178884 0.262131 0.80082
0.204441 0.172623 0.788033
0.229406 0.0959017 0.730492
0.254382 0.0511476 0.679345
0.278555 0.0191803 0.621803
0.303326 0 0.545082
0.328226 0 0.474754
0.353558 0 0.378853
0.378703 0.0127869 0.295738
0.402788 0.0639345 0.219016
0.427893 0.134262 0.142295
0.452661 0.20459 0.0975411
0.477503 0.287705 0.052787
0.502507 0.37082 0.0272133
0.527502 0.466721 0.0144264
0.551447 0.581803 0.0144264
0.576991 0.671311 0.0272133
0.601607 0.76082 0.0655739
0.626316 0.831148 0.123115
0.65152 0.882295 0.180656
0.676557 0.933443 0.250984
0.701443 0.959017 0.334098
0.726447 0.971803 0.44918
0.751123 0.971803 0.538689
0.776017 0.939836 0.61541
0.801207 0.895082 0.679345
0.826062 0.831148 0.730492
0.850625 0.773607 0.768853
0.875797 0.728853 0.794426
0.900279 0.696885 0.80082
0.925013 0.652131 0.813607
0.950121 0.626557 0.813607
0.97503 0.61377 0.82
1 0.607377 0.82

Points: 36
Width: 0.121065
Duration: 319.89
Centroid: 0.48463 0.604398
0 0.184894 0.853537
0.0370459 0.184894 0.846654
0.0651775 0.184894 0.764054
0.0915721 0.184894 0.640153
0.118272 0.184894 0.481836
0.14525 0.184894 0.323518
0.172206 0.184894 0.220268
0.199153 0.184894 0.110134
0.226735 0.184894 0.0619502
0.254424 0.184894 0.0206501
0.280981 0.184894 0.00688336
0.315316 0.184894 0
0.377517 0.184894 0.0206501
0.405435 0.184894 0.0826003
0.431927 0.198661 0.192734
0.45884 0.233078 0.323518
0.484872 0.281262 0.468069
0.511892 0.363862 0.67457
0.53934 0.439579 0.784704
0.567249 0.515296 0.874188
0.593726 0.577246 0.929255
0.620508 0.64608 0.963671
0.647523 0.701147 0.977438
0.67523 0.742447 0.977438
0.702226 0.783747 0.977438
0.73007 0.818164 0.956788
0.756776 0.859464 0.860421
0.783556 0.880114 0.784704
0.810772 0.893881 0.660803
0.837963 0.900765 0.536903
0.865099 0.907648 0.426769
0.892837 0.907648 0.337285
0.918862 0.914531 0.275335
0.945623 0.928298 0.227151
0.973022 0.948948 0.192734
1 0.969598 0.165201

Points: 0
Width: 6.20661e-36
Duration: 1.4013e-45
Centroid: 0 0

Points: 28
Width: 0.245119
Duration: 543.835
Centroid: 0.559286 0.526786
0 0.481059 0.904323
0.16144 0.477659 0.904323
0.177831 0.470859 0.904323
0.194068 0.457261 0.904323
0.209881 0.450461 0.897523
0.225563 0.443662 0.880525
0.241744 0.440262 0.829529
0.258043 0.440262 0.768334
0.273558 0.440262 0.693541
0.289326 0.46066 0.605148
0.304482 0.487858 0.499757
0.320602 0.511656 0.394366
0.336668 0.542253 0.278776
0.352662 0.562652 0.169985
0.368802 0.569451 0.108791
0.384473 0.572851 0.0543953
0.400306 0.572851 0.0305973
0.416659 0.572851 0.0135988
0.432337 0.572851 0
0.880821 0.362069 0.452161
0.889401 0.372268 0.452161
0.905103 0.409665 0.458961
0.920452 0.46406 0.46576
0.936617 0.504857 0.46576
0.953163 0.555852 0.46576
0.968408 0.58305 0.46576
0.983968 0.606848 0.46576
1 0.613647 0.46576

Points: 22
Width: 0.0771214
Duration: 244.957
Centroid: 0.495985 0.622121
0 0.331533 0.280943
0.114477 0.331533 0.259332
0.150417 0.331533 0.172888
0.185372 0.331533 0.0756387
0.220435 0.331533 0.0432223
0.254704 0.331533 0.0108055
0.289018 0.331533 0
0.505968 0.331533 0.0108055
0.542279 0.331533 0.0864441
0.57719 0.331533 0.205304
0.612277 0.331533 0.33497
0.647897 0.331533 0.464636
0.684033 0.407171 0.637523
0.718154 0.48281 0.745578
0.754409 0.569254 0.842828
0.790712 0.655697 0.918466
0.826727 0.709725 0.950882
0.859693 0.774558 0.983299
0.894868 0.81778 0.994104
0.929783 0.850196 0.994104
0.96546 0.871807 0.994104
1 0.882613 0.994104

Points: 38
Width: 0.128202
Duration: 314.344
Centroid: 0.511404 0.608202
0 0.566028 0.806021
0.00810841 0.566028 0.812521
0.0363014 0.566028 0.819021
0.0630841 0.566028 0.825521
0.0912864 0.533527 0.838522
0.118448 0.494526 0.838522
0.145799 0.436024 0.838522
0.173887 0.384023 0.838522
0.201371 0.332022 0.812521
0.228583 0.26702 0.75402
0.257099 0.234519 0.708518
0.283269 0.208519 0.624016
0.31086 0.189018 0.533014
0.3384 0.189018 0.442012
0.366454 0.189018 0.351009
0.394205 0.189018 0.227506
0.422315 0.228019 0.149504
0.449038 0.293021 0.0845021
0.477303 0.364523 0.0520013
0.504306 0.436024 0.0195005
0.531042 0.507526 0.00650016
0.55771 0.579028 0
0.584657 0.63103 0
0.61298 0.689531 0.039001
0.639937 0.728532 0.117003
0.667316 0.761033 0.195005
0.694186 0.780533 0.292508
0.721944 0.787033 0.38351
0.750034 0.787033 0.455012
0.778339 0.767533 0.546014
0.806467 0.715532 0.598015
0.83329 0.65703 0.650017
0.860663 0.624529 0.669517
0.888141 0.585528 0.708518
0.915977 0.553027 0.728019
0.943334 0.540027 0.741019
0.971763 0.540027 0.747519
1 0.533527 0.747519

Points: 53
Width: 0.152296
Duration: 457.452
Centroid: 0.550786 0.603962
0 0.163638 0.727751
0.00837477 0.163638 0.711336
0.0277949 0.163638 0.645674
0.0464999 0.163638 0.552653
0.0649039 0.163638 0.415858
0.0839782 0.163638 0.311893
0.102438 0.163638 0.186042
0.121832 0.163638 0.093021
0.141199 0.163638 0.0437745
0.159742 0.163638 0.0164154
0.178515 0.163638 0.00547181
0.198238 0.163638 0
0.244405 0.163638 0.0109436
0.263823 0.163638 0.0492463
0.28252 0.163638 0.147739
0.301447 0.163638 0.262647
0.320436 0.190998 0.42133
0.33923 0.240244 0.574541
0.358431 0.305906 0.722279
0.377806 0.34968 0.798885
0.396857 0.387983 0.848132
0.415619 0.426286 0.870019
0.434378 0.448173 0.870019
